id,eeg_s1_r1_e1,psychopy_practice_s1_r1_e1,psychopy_test_s1_r1_e1,digi_s1_r1_e1,redcap_s1_r1_e1,data_checked
sub-390001,1,1,1,2,0,2025-09-04
sub-390002,1,1,1,2,0,2025-09-04
sub-390003,1,1,1,1,0,2025-09-04
sub-390004,1,1,1,2,0,2025-09-04
sub-390005,1,1,1,1,0,2025-09-04
sub-390006,1,1,1,1,0,2025-09-04
sub-390007,1,1,1,2,0,2025-09-04
sub-390008,1,1,1,1,0,2025-09-04
sub-390009,1,1,1,1,0,2025-09-04
sub-390010,1,1,1,2,0,2025-09-04
sub-390011,1,1,1,1,0,2025-09-04
sub-390012,1,1,1,2,0,2025-09-04
sub-390013,1,1,1,1,0,2025-09-04
sub-390014,1,1,1,1,0,2025-09-04
sub-390015,1,1,1,1,0,2025-09-04
sub-390016,1,0,0,2,0,2025-09-04
sub-390017,0,1,0,2,0,2025-09-04
sub-390018,0,1,0,2,0,2025-09-04
sub-390019,0,1,0,2,0,2025-09-04
sub-390020,1,1,1,1,0,2025-09-04
sub-390021,1,1,1,1,0,2025-09-04
sub-390022,1,1,1,1,0,2025-09-04
sub-390023,1,1,1,2,0,2025-09-04
sub-390024,1,1,1,2,0,2025-09-04
sub-390025,1,1,1,1,0,2025-09-04
sub-390026,1,1,1,1,0,2025-09-04
sub-390027,1,1,1,2,0,2025-09-04
sub-390028,1,1,1,1,0,2025-09-04
sub-390029,0,1,0,2,0,2025-09-04
sub-390030,1,1,1,1,0,2025-09-04
sub-390031,1,1,1,1,0,2025-09-04
sub-390032,1,1,1,1,0,2025-09-04
sub-390033,1,1,1,2,0,2025-09-04
sub-390034,1,1,1,1,0,2025-09-04
sub-390035,1,1,1,2,0,2025-09-04
sub-390036,1,1,1,2,0,2025-09-04
sub-390037,1,1,1,2,0,2025-09-04
sub-390038,1,1,1,1,0,2025-09-04
sub-390039,1,1,1,1,0,2025-09-04
